Year,Birthrate
1960.0,6.16
1961.0,5.99
1962.0,5.79
1963.0,5.57
1964.0,5.36
1965.0,5.16
1966.0,4.99
1967.0,4.84
1968.0,4.72
1969.0,4.62
1970.0,4.53
1971.0,4.54
1972.0,4.12
1973.0,4.07
1974.0,3.77
1975.0,3.43
1976.0,3.0
1977.0,2.99
1978.0,2.64
1979.0,2.9
1980.0,2.82
1981.0,2.57
1982.0,2.39
1983.0,2.06
1984.0,1.74
1985.0,1.66
1986.0,1.58
1987.0,1.53
1988.0,1.55
1989.0,1.56
1990.0,1.57
1991.0,1.71
1992.0,1.76
1993.0,1.654
1994.0,1.656
1995.0,1.634
1996.0,1.574
1997.0,1.537
1998.0,1.464
1999.0,1.425
2000.0,1.48
2001.0,1.309
2002.0,1.178
2003.0,1.191
2004.0,1.164
2005.0,1.085
2006.0,1.132
2007.0,1.259
2008.0,1.192
2009.0,1.149
2010.0,1.226
2011.0,1.244
2012.0,1.297
2013.0,1.187
2014.0,1.205
2015.0,1.239
2016.0,1.172
2017.0,1.052
2018.0,0.977
2019.0,0.918
2020.0,0.84
